#Variables:
#pr_bcc-csm1-1_rcp85(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_rcp85(mm):Monthly Precipitation Amount
#pr_inmcm4_rcp85(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_rcp85(mm):Monthly Precipitation Amount
#pr_NorESM1-M_rcp85(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)
2070-03-15,200.634827,269.179779,149.129532,155.365433,115.624298
2070-04-15,61.331268,105.555367,45.969627,80.841621,63.922951
2070-05-15,86.011940,58.419582,211.712753,164.578964,94.449524
2070-06-15,46.856049,135.860123,144.670822,62.137630,45.705421
2070-07-15,46.865257,85.425308,140.549484,71.332031,101.082367
2070-08-15,56.678291,78.463463,213.131485,111.552345,149.849152
2070-09-15,135.188309,3.156966,59.420010,175.294891,179.624115
2070-10-15,46.228455,42.847645,20.194353,88.594795,60.088749
2070-11-15,66.284027,130.901550,46.635910,195.264404,34.806492
2070-12-15,157.029114,49.432667,55.787941,127.307343,125.999573
2071-01-15,42.518024,96.286507,109.079132,95.050575,149.016632
2071-02-15,120.024155,152.318069,111.428520,125.370811,102.727295
2071-03-15,93.499046,79.357826,227.409805,109.476105,177.776276
2071-04-15,145.505432,77.447510,124.858765,134.395340,273.847992
2071-05-15,173.584244,37.784142,72.213493,68.776619,135.407516
2071-06-15,124.942360,81.627312,300.785370,60.482761,85.212204
2071-07-15,55.305309,91.249611,176.085526,204.634186,262.203583
2071-08-15,196.786377,80.028374,142.557663,151.729065,217.171509
2071-09-15,135.816345,61.565926,170.667175,164.080078,314.683289
2071-10-15,11.267044,198.753494,15.141089,61.092239,22.573725
2071-11-15,134.539429,47.555382,28.653564,105.274498,106.409927
2071-12-15,187.311279,56.731773,185.835358,164.062027,92.531998
2072-01-15,210.644272,115.476105,174.011414,46.161346,38.377220
2072-02-15,27.856258,105.692711,92.268143,186.478775,91.324692
2072-03-15,237.824661,165.270767,87.663147,154.612946,77.335075
2072-04-15,109.271660,134.704285,135.003601,97.572479,36.645439
2072-05-15,112.510201,67.619827,88.823235,151.510727,123.928810
2072-06-15,74.163132,40.369884,214.335663,25.505890,116.527435
2072-07-15,100.059326,56.349995,39.032318,117.357361,127.087662
2072-08-15,100.498161,245.328918,137.273300,144.795959,88.819885
2072-09-15,158.970749,160.746872,89.659790,270.181030,74.346573
2072-10-15,202.909943,116.207321,23.966423,71.323418,135.921814
2072-11-15,162.118896,50.779987,23.060236,80.572319,73.400612
2072-12-15,104.274147,173.885254,113.789375,57.145302,23.590794
2073-01-15,36.405628,192.213013,50.504639,193.803802,113.993904
2073-02-15,31.837173,58.069698,158.331131,84.494911,118.791794
2073-03-15,208.123810,78.966820,139.802673,79.987770,276.569794
2073-04-15,72.532860,66.730408,48.899052,230.896713,97.909760
2073-05-15,88.708969,77.177650,0.000000,71.496796,85.082619
2073-06-15,11.232809,64.406723,50.513748,139.924622,98.883850
2073-07-15,34.817703,98.213715,23.201336,31.490589,132.582047
2073-08-15,108.567696,187.715317,241.948257,125.894653,44.951496
2073-09-15,99.737968,95.450699,20.058258,69.948479,78.554924
2073-10-15,243.357864,48.025879,35.610016,99.737030,134.350815
2073-11-15,62.568512,67.199669,78.160828,112.510551,154.545914
2073-12-15,54.168011,243.597580,41.496422,142.742172,210.451080
2074-01-15,110.729546,77.721664,113.304848,292.938263,135.571564
2074-02-15,48.899021,112.899879,94.152618,131.924042,55.676121
2074-03-15,28.678936,150.848938,242.125244,100.396652,318.434875
2074-04-15,82.619804,106.008476,112.824036,98.711853,52.407417
2074-05-15,98.169785,185.502655,59.794510,41.887123,48.981102
2074-06-15,26.893532,60.777565,150.004196,29.543430,65.748970
2074-07-15,20.065580,163.771744,24.140194,474.736816,302.793365
2074-08-15,87.662590,78.477081,0.729647,24.817263,226.160980
2074-09-15,183.607147,273.695007,28.390085,148.093018,39.313240
2074-10-15,58.320629,90.652161,18.412218,84.738388,123.191826
2074-11-15,176.413498,101.473999,83.387375,68.005699,164.482025
2074-12-15,76.448914,73.267670,56.342915,93.638474,60.031910
2075-01-15,101.947495,151.576401,181.494354,73.731789,77.802803
2075-02-15,89.533928,155.881271,150.315170,162.624710,145.082916
2075-03-15,163.830933,194.007126,208.451981,44.081291,39.061523
2075-04-15,98.657120,152.047302,164.942398,70.260674,56.103607
2075-05-15,9.733712,83.052391,79.421959,87.985603,195.618286
2075-06-15,54.654755,42.333111,59.921265,132.458237,197.504410
2075-07-15,170.005905,50.580284,78.658501,117.236137,9.370604
2075-08-15,88.685356,107.937149,69.318199,39.262115,118.627228
2075-09-15,19.689163,262.964142,217.050659,14.624084,92.427734
2075-10-15,4.487887,414.986969,342.329224,364.277802,26.893234
2075-11-15,107.707390,88.333359,190.255707,80.844856,72.968178
2075-12-15,150.033539,66.005699,92.870018,79.338959,83.702507
2076-01-15,96.288010,57.654057,157.114609,231.004898,209.979996
2076-02-15,134.699646,86.853668,139.413300,73.280640,166.176788
2076-03-15,202.422485,127.561325,208.026352,139.494370,116.345718
2076-04-15,69.434998,119.993561,146.216034,94.748840,139.861404
2076-05-15,101.775520,45.033928,109.976128,118.582626,138.879272
2076-06-15,43.169575,80.416183,98.893013,48.381359,113.942741
2076-07-15,60.943832,166.659409,195.009171,133.218872,170.935837
2076-08-15,98.537895,212.352325,176.473663,77.773155,155.686218
2076-09-15,123.548431,28.379793,86.021156,95.775520,138.030136
2076-10-15,187.665466,55.571594,157.810455,59.771938,79.561295
2076-11-15,114.394897,173.603424,11.917974,70.638947,55.262253
2076-12-15,120.042465,88.469391,226.579391,132.546265,134.465683
2077-01-15,116.673744,105.767082,114.090508,165.177002,199.183792
2077-02-15,144.803024,147.552719,188.892212,85.788757,151.098969
